,Trading Code,Company Name,News Title,News,Post Date
285,AFCAGRO,AFC Agro Biotech Ltd.,AFCAGRO: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 29, 2022 at 10:30 AM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-23
286,AFTABAUTO,Aftab Automobiles Limited,AFTABAUTO: Closing the Operation of Motor Cycle Unit,"The Company has informed that the operation of Motor Cycle Unit has been closed and the fixed asset of the Unit of BDT 27,77,86,431.00 will be adjusted in Current Assets of the Company.",2022-10-27
287,AGNISYSL,Agni Systems Ltd.,AGNISYSL: Price Limit Open,There will be no price limit on the trading of the shares of the Company today (26.10.2022) following its corporate declaration.,2022-10-26
288,AGRANINS,Agrani Insurance Co. Ltd.,AGRANINS: Q3 Financials,"(Q3 Un-audited): EPS was Tk. 0.44 for July-September 2022 as against Tk. 0.60 for July-September 2021; EPS was Tk. 1.16 for January-September 2022 as against Tk. 1.36 for January-September 2021. NOCFPS was Tk. (0.10) for January-September 2022 as against Tk. (0.12) for January-September 2021. NAV per share was Tk. 19.50 as on September 30, 2022 and Tk. 19.84 as on December 31, 2021.",2022-10-27
289,AIBL1STIMF,AIBL 1st Islamic Mutual Fund,AIBL1STIMF: Trustee Committee Meeting schedule under LR 16(1),"As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Trustee of Fund has informed that a meeting of the Trustee Committee will be held on October 31, 2022 at 2:25 PM to consider, among others, un-audited financial statements of the Fund for the Second Quarter (Q2) period ended September 30, 2022.",2022-10-26
290,AIBLPBOND,AIBL Mudaraba Perpetual Bond,AIBLPBOND: Resumption after record date,Trading of the AIBL Mudaraba Perpetual Bond will resume on 02.01.2022 after record date.,2021-12-30
291,AIL,Alif Industries Limited,AIL: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 30, 2022 at 3:00 PM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-23
292,AL-HAJTEX,Al-Haj Textile Mills Limited,,,
293,ALARABANK,Al-Arafah Islami Bank Ltd,,,
294,AAMRANET,aamra networks limited,AAMRANET: Price Limit Open,There will be no price limit on the trading of the shares of the Company on today (26.10.2022) for following its corporate declaration.,2022-10-26
295,AAMRATECH,aamra technologies limited,AAMRATECH: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 28, 2022 at 5:00 PM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-20
296,ABB1STMF,AB Bank 1st Mutual fund,ABB1STMF: Trustee Committee Meeting under LR 16(1),"As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Trustee of Fund has informed that a meeting of the Trustee Committee will be held on October 27, 2022 at 2:30 PM to consider, among others, un-audited financial statements of the Fund for the First Quarter (Q1) period ended September 30, 2022.",2022-10-25
297,ABBANK,AB Bank Limited,ABBANK: Board Meeting schedule under LR 16(1),"As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 27, 2022 at 2:30 PM to consider, among others, un-audited financial statements of the Company for the Third Quarter (Q3) period ended September 30, 2022.",2022-10-24
298,ACFL,Aman Cotton Fibrous Limited,ACFL: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 27, 2022 at 3:00 PM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-20
299,ACI,ACI  Limited,ACI: Update of Information,"(Continuation news of ACI): The Company has further requested the concerned Brokerage/DPs to provide the details (shareholder's name, BO ID, e-mail address, shareholding position, gross dividend receivable, applicable tax rate and net divided receivable) of their Margin Loan Holders who hold Company's share on the Record Date to share office or email to monir@aci-bd.com along with DPs Bank details (account name, account number, routing No., etc.), latest by December 15, 2022. (end)",2022-10-27
300,ACIFORMULA,ACI Formulations Limited,ACIFORMULA: Update of Information,"(Continuation news of ACIFORMULA): Brokerage/DPs to provide the details (shareholder's name, BO ID, e-mail address, shareholding position, gross dividend receivable, applicable tax rate and net divided receivable) of their Margin Loan Holders who hold Company's share on the Record Date to share office or email to monir@aci-bd.com along with DPs Bank details (account name, account number, routing No., etc.), latest by 15 December 2022. (end)",2022-10-27
301,ACMELAB,The ACME Laboratories Limited,ACMELAB: Price Limit Open,There will be no price limit on the trading of the shares of the Company today (27.10.2022) following its corporate declaration.,2022-10-27
302,ACMEPL,ACME Pesticides Limited,ACMEPL: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 30, 2022 at 3:30 PM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-23
303,ACTIVEFINE,Active Fine Chemicals Limited,ACTIVEFINE: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 29, 2022 at 9:30 AM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-23
304,ADNTEL,ADN Telecom Limited,ADNTEL: Board Meeting schedule under LR 16(1),"As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 30, 2022 at 3:00 PM to consider, among others, un-audited financial statements of the Company for the First Quarter (Q1) period ended September 30, 2022.",2022-10-25
305,ADVENT,Advent Pharma Limited,ADVENT: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 27, 2022 at 3:00 PM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-20
306,AFCAGRO,AFC Agro Biotech Ltd.,AFCAGRO: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 29, 2022 at 10:30 AM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-23
307,AFTABAUTO,Aftab Automobiles Limited,AFTABAUTO: Closing the Operation of Motor Cycle Unit,"The Company has informed that the operation of Motor Cycle Unit has been closed and the fixed asset of the Unit of BDT 27,77,86,431.00 will be adjusted in Current Assets of the Company.",2022-10-27
308,AGNISYSL,Agni Systems Ltd.,AGNISYSL: Price Limit Open,There will be no price limit on the trading of the shares of the Company today (26.10.2022) following its corporate declaration.,2022-10-26
309,AGRANINS,Agrani Insurance Co. Ltd.,AGRANINS: Q3 Financials,"(Q3 Un-audited): EPS was Tk. 0.44 for July-September 2022 as against Tk. 0.60 for July-September 2021; EPS was Tk. 1.16 for January-September 2022 as against Tk. 1.36 for January-September 2021. NOCFPS was Tk. (0.10) for January-September 2022 as against Tk. (0.12) for January-September 2021. NAV per share was Tk. 19.50 as on September 30, 2022 and Tk. 19.84 as on December 31, 2021.",2022-10-27
310,AIBL1STIMF,AIBL 1st Islamic Mutual Fund,AIBL1STIMF: Trustee Committee Meeting schedule under LR 16(1),"As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Trustee of Fund has informed that a meeting of the Trustee Committee will be held on October 31, 2022 at 2:25 PM to consider, among others, un-audited financial statements of the Fund for the Second Quarter (Q2) period ended September 30, 2022.",2022-10-26
311,AIBLPBOND,AIBL Mudaraba Perpetual Bond,AIBLPBOND: Resumption after record date,Trading of the AIBL Mudaraba Perpetual Bond will resume on 02.01.2022 after record date.,2021-12-30
312,AIL,Alif Industries Limited,AIL: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 30, 2022 at 3:00 PM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-23
313,AL-HAJTEX,Al-Haj Textile Mills Limited,,,
314,ALARABANK,Al-Arafah Islami Bank Ltd,,,
315,AAMRANET,aamra networks limited,AAMRANET: Price Limit Open,There will be no price limit on the trading of the shares of the Company on today (26.10.2022) for following its corporate declaration.,2022-10-26
316,AAMRATECH,aamra technologies limited,AAMRATECH: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 28, 2022 at 5:00 PM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-20
317,ABB1STMF,AB Bank 1st Mutual fund,ABB1STMF: Trustee Committee Meeting under LR 16(1),"As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Trustee of Fund has informed that a meeting of the Trustee Committee will be held on October 27, 2022 at 2:30 PM to consider, among others, un-audited financial statements of the Fund for the First Quarter (Q1) period ended September 30, 2022.",2022-10-25
318,ABBANK,AB Bank Limited,ABBANK: Board Meeting schedule under LR 16(1),"As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 27, 2022 at 2:30 PM to consider, among others, un-audited financial statements of the Company for the Third Quarter (Q3) period ended September 30, 2022.",2022-10-24
319,ACFL,Aman Cotton Fibrous Limited,ACFL: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 27, 2022 at 3:00 PM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-20
320,ACI,ACI  Limited,ACI: Update of Information,"(Continuation news of ACI): The Company has further requested the concerned Brokerage/DPs to provide the details (shareholder's name, BO ID, e-mail address, shareholding position, gross dividend receivable, applicable tax rate and net divided receivable) of their Margin Loan Holders who hold Company's share on the Record Date to share office or email to monir@aci-bd.com along with DPs Bank details (account name, account number, routing No., etc.), latest by December 15, 2022. (end)",2022-10-27
321,ACIFORMULA,ACI Formulations Limited,ACIFORMULA: Update of Information,"(Continuation news of ACIFORMULA): Brokerage/DPs to provide the details (shareholder's name, BO ID, e-mail address, shareholding position, gross dividend receivable, applicable tax rate and net divided receivable) of their Margin Loan Holders who hold Company's share on the Record Date to share office or email to monir@aci-bd.com along with DPs Bank details (account name, account number, routing No., etc.), latest by 15 December 2022. (end)",2022-10-27
322,ACMELAB,The ACME Laboratories Limited,ACMELAB: Price Limit Open,There will be no price limit on the trading of the shares of the Company today (27.10.2022) following its corporate declaration.,2022-10-27
323,ACMEPL,ACME Pesticides Limited,ACMEPL: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 30, 2022 at 3:30 PM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-23
324,ACTIVEFINE,Active Fine Chemicals Limited,ACTIVEFINE: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 29, 2022 at 9:30 AM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-23
325,ADNTEL,ADN Telecom Limited,ADNTEL: Board Meeting schedule under LR 16(1),"As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 30, 2022 at 3:00 PM to consider, among others, un-audited financial statements of the Company for the First Quarter (Q1) period ended September 30, 2022.",2022-10-25
326,ADVENT,Advent Pharma Limited,ADVENT: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 27, 2022 at 3:00 PM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-20
327,AFCAGRO,AFC Agro Biotech Ltd.,AFCAGRO: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 29, 2022 at 10:30 AM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-23
328,AFTABAUTO,Aftab Automobiles Limited,AFTABAUTO: Closing the Operation of Motor Cycle Unit,"The Company has informed that the operation of Motor Cycle Unit has been closed and the fixed asset of the Unit of BDT 27,77,86,431.00 will be adjusted in Current Assets of the Company.",2022-10-27
329,AGNISYSL,Agni Systems Ltd.,AGNISYSL: Price Limit Open,There will be no price limit on the trading of the shares of the Company today (26.10.2022) following its corporate declaration.,2022-10-26
330,AGRANINS,Agrani Insurance Co. Ltd.,AGRANINS: Q3 Financials,"(Q3 Un-audited): EPS was Tk. 0.44 for July-September 2022 as against Tk. 0.60 for July-September 2021; EPS was Tk. 1.16 for January-September 2022 as against Tk. 1.36 for January-September 2021. NOCFPS was Tk. (0.10) for January-September 2022 as against Tk. (0.12) for January-September 2021. NAV per share was Tk. 19.50 as on September 30, 2022 and Tk. 19.84 as on December 31, 2021.",2022-10-27
331,AIBL1STIMF,AIBL 1st Islamic Mutual Fund,AIBL1STIMF: Trustee Committee Meeting schedule under LR 16(1),"As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Trustee of Fund has informed that a meeting of the Trustee Committee will be held on October 31, 2022 at 2:25 PM to consider, among others, un-audited financial statements of the Fund for the Second Quarter (Q2) period ended September 30, 2022.",2022-10-26
332,AIBLPBOND,AIBL Mudaraba Perpetual Bond,AIBLPBOND: Resumption after record date,Trading of the AIBL Mudaraba Perpetual Bond will resume on 02.01.2022 after record date.,2021-12-30
333,AIL,Alif Industries Limited,AIL: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 30, 2022 at 3:00 PM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-23
334,AL-HAJTEX,Al-Haj Textile Mills Limited,,,
335,ALARABANK,Al-Arafah Islami Bank Ltd,,,
336,AAMRANET,aamra networks limited,AAMRANET: Price Limit Open,There will be no price limit on the trading of the shares of the Company on today (26.10.2022) for following its corporate declaration.,2022-10-26
337,AAMRATECH,aamra technologies limited,AAMRATECH: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 28, 2022 at 5:00 PM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-20
338,ABB1STMF,AB Bank 1st Mutual fund,ABB1STMF: Trustee Committee Meeting under LR 16(1),"As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Trustee of Fund has informed that a meeting of the Trustee Committee will be held on October 27, 2022 at 2:30 PM to consider, among others, un-audited financial statements of the Fund for the First Quarter (Q1) period ended September 30, 2022.",2022-10-25
339,ABBANK,AB Bank Limited,ABBANK: Board Meeting schedule under LR 16(1),"As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 27, 2022 at 2:30 PM to consider, among others, un-audited financial statements of the Company for the Third Quarter (Q3) period ended September 30, 2022.",2022-10-24
340,ACFL,Aman Cotton Fibrous Limited,ACFL: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 27, 2022 at 3:00 PM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-20
341,ACI,ACI  Limited,ACI: Update of Information,"(Continuation news of ACI): The Company has further requested the concerned Brokerage/DPs to provide the details (shareholder's name, BO ID, e-mail address, shareholding position, gross dividend receivable, applicable tax rate and net divided receivable) of their Margin Loan Holders who hold Company's share on the Record Date to share office or email to monir@aci-bd.com along with DPs Bank details (account name, account number, routing No., etc.), latest by December 15, 2022. (end)",2022-10-27
342,ACIFORMULA,ACI Formulations Limited,ACIFORMULA: Update of Information,"(Continuation news of ACIFORMULA): Brokerage/DPs to provide the details (shareholder's name, BO ID, e-mail address, shareholding position, gross dividend receivable, applicable tax rate and net divided receivable) of their Margin Loan Holders who hold Company's share on the Record Date to share office or email to monir@aci-bd.com along with DPs Bank details (account name, account number, routing No., etc.), latest by 15 December 2022. (end)",2022-10-27
343,ACMELAB,The ACME Laboratories Limited,ACMELAB: Price Limit Open,There will be no price limit on the trading of the shares of the Company today (27.10.2022) following its corporate declaration.,2022-10-27
344,ACMEPL,ACME Pesticides Limited,ACMEPL: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 30, 2022 at 3:30 PM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-23
345,ACTIVEFINE,Active Fine Chemicals Limited,ACTIVEFINE: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 29, 2022 at 9:30 AM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-23
346,ADNTEL,ADN Telecom Limited,ADNTEL: Board Meeting schedule under LR 16(1),"As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 30, 2022 at 3:00 PM to consider, among others, un-audited financial statements of the Company for the First Quarter (Q1) period ended September 30, 2022.",2022-10-25
347,ADVENT,Advent Pharma Limited,ADVENT: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 27, 2022 at 3:00 PM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-20
348,AFCAGRO,AFC Agro Biotech Ltd.,AFCAGRO: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 29, 2022 at 10:30 AM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-23
349,AFTABAUTO,Aftab Automobiles Limited,AFTABAUTO: Closing the Operation of Motor Cycle Unit,"The Company has informed that the operation of Motor Cycle Unit has been closed and the fixed asset of the Unit of BDT 27,77,86,431.00 will be adjusted in Current Assets of the Company.",2022-10-27
350,AGNISYSL,Agni Systems Ltd.,AGNISYSL: Price Limit Open,There will be no price limit on the trading of the shares of the Company today (26.10.2022) following its corporate declaration.,2022-10-26
351,AGRANINS,Agrani Insurance Co. Ltd.,AGRANINS: Q3 Financials,"(Q3 Un-audited): EPS was Tk. 0.44 for July-September 2022 as against Tk. 0.60 for July-September 2021; EPS was Tk. 1.16 for January-September 2022 as against Tk. 1.36 for January-September 2021. NOCFPS was Tk. (0.10) for January-September 2022 as against Tk. (0.12) for January-September 2021. NAV per share was Tk. 19.50 as on September 30, 2022 and Tk. 19.84 as on December 31, 2021.",2022-10-27
352,AIBL1STIMF,AIBL 1st Islamic Mutual Fund,AIBL1STIMF: Trustee Committee Meeting schedule under LR 16(1),"As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Trustee of Fund has informed that a meeting of the Trustee Committee will be held on October 31, 2022 at 2:25 PM to consider, among others, un-audited financial statements of the Fund for the Second Quarter (Q2) period ended September 30, 2022.",2022-10-26
353,AIBLPBOND,AIBL Mudaraba Perpetual Bond,AIBLPBOND: Resumption after record date,Trading of the AIBL Mudaraba Perpetual Bond will resume on 02.01.2022 after record date.,2021-12-30
354,AIL,Alif Industries Limited,AIL: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 30, 2022 at 3:00 PM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-23
355,AL-HAJTEX,Al-Haj Textile Mills Limited,,,
356,ALARABANK,Al-Arafah Islami Bank Ltd,,,
357,AAMRANET,aamra networks limited,AAMRANET: Price Limit Open,There will be no price limit on the trading of the shares of the Company on today (26.10.2022) for following its corporate declaration.,2022-10-26
358,AAMRATECH,aamra technologies limited,AAMRATECH: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 28, 2022 at 5:00 PM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-20
359,ABB1STMF,AB Bank 1st Mutual fund,ABB1STMF: Trustee Committee Meeting under LR 16(1),"As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Trustee of Fund has informed that a meeting of the Trustee Committee will be held on October 27, 2022 at 2:30 PM to consider, among others, un-audited financial statements of the Fund for the First Quarter (Q1) period ended September 30, 2022.",2022-10-25
360,ABBANK,AB Bank Limited,ABBANK: Board Meeting schedule under LR 16(1),"As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 27, 2022 at 2:30 PM to consider, among others, un-audited financial statements of the Company for the Third Quarter (Q3) period ended September 30, 2022.",2022-10-24
361,ACFL,Aman Cotton Fibrous Limited,ACFL: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 27, 2022 at 3:00 PM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-20
362,ACI,ACI  Limited,ACI: Update of Information,"(Continuation news of ACI): The Company has further requested the concerned Brokerage/DPs to provide the details (shareholder's name, BO ID, e-mail address, shareholding position, gross dividend receivable, applicable tax rate and net divided receivable) of their Margin Loan Holders who hold Company's share on the Record Date to share office or email to monir@aci-bd.com along with DPs Bank details (account name, account number, routing No., etc.), latest by December 15, 2022. (end)",2022-10-27
363,ACIFORMULA,ACI Formulations Limited,ACIFORMULA: Update of Information,"(Continuation news of ACIFORMULA): Brokerage/DPs to provide the details (shareholder's name, BO ID, e-mail address, shareholding position, gross dividend receivable, applicable tax rate and net divided receivable) of their Margin Loan Holders who hold Company's share on the Record Date to share office or email to monir@aci-bd.com along with DPs Bank details (account name, account number, routing No., etc.), latest by 15 December 2022. (end)",2022-10-27
364,ACMELAB,The ACME Laboratories Limited,ACMELAB: Price Limit Open,There will be no price limit on the trading of the shares of the Company today (27.10.2022) following its corporate declaration.,2022-10-27
365,ACMEPL,ACME Pesticides Limited,ACMEPL: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 30, 2022 at 3:30 PM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-23
366,ACTIVEFINE,Active Fine Chemicals Limited,ACTIVEFINE: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 29, 2022 at 9:30 AM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-23
367,ADNTEL,ADN Telecom Limited,ADNTEL: Board Meeting schedule under LR 16(1),"As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 30, 2022 at 3:00 PM to consider, among others, un-audited financial statements of the Company for the First Quarter (Q1) period ended September 30, 2022.",2022-10-25
368,ADVENT,Advent Pharma Limited,ADVENT: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 27, 2022 at 3:00 PM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-20
369,AFCAGRO,AFC Agro Biotech Ltd.,AFCAGRO: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 29, 2022 at 10:30 AM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-23
370,AFTABAUTO,Aftab Automobiles Limited,AFTABAUTO: Closing the Operation of Motor Cycle Unit,"The Company has informed that the operation of Motor Cycle Unit has been closed and the fixed asset of the Unit of BDT 27,77,86,431.00 will be adjusted in Current Assets of the Company.",2022-10-27
371,AGNISYSL,Agni Systems Ltd.,AGNISYSL: Price Limit Open,There will be no price limit on the trading of the shares of the Company today (26.10.2022) following its corporate declaration.,2022-10-26
372,AGRANINS,Agrani Insurance Co. Ltd.,AGRANINS: Q3 Financials,"(Q3 Un-audited): EPS was Tk. 0.44 for July-September 2022 as against Tk. 0.60 for July-September 2021; EPS was Tk. 1.16 for January-September 2022 as against Tk. 1.36 for January-September 2021. NOCFPS was Tk. (0.10) for January-September 2022 as against Tk. (0.12) for January-September 2021. NAV per share was Tk. 19.50 as on September 30, 2022 and Tk. 19.84 as on December 31, 2021.",2022-10-27
373,AIBL1STIMF,AIBL 1st Islamic Mutual Fund,AIBL1STIMF: Trustee Committee Meeting schedule under LR 16(1),"As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Trustee of Fund has informed that a meeting of the Trustee Committee will be held on October 31, 2022 at 2:25 PM to consider, among others, un-audited financial statements of the Fund for the Second Quarter (Q2) period ended September 30, 2022.",2022-10-26
374,AIBLPBOND,AIBL Mudaraba Perpetual Bond,AIBLPBOND: Resumption after record date,Trading of the AIBL Mudaraba Perpetual Bond will resume on 02.01.2022 after record date.,2021-12-30
375,AIL,Alif Industries Limited,AIL: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 30, 2022 at 3:00 PM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-23
376,AL-HAJTEX,Al-Haj Textile Mills Limited,,,
377,ALARABANK,Al-Arafah Islami Bank Ltd,,,
378,AAMRANET,aamra networks limited,AAMRANET: Price Limit Open,There will be no price limit on the trading of the shares of the Company on today (26.10.2022) for following its corporate declaration.,2022-10-26
379,AAMRATECH,aamra technologies limited,AAMRATECH: Board Meeting schedule under LR 19(1),"As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 28, 2022 at 5:00 PM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022.",2022-10-20
380,ABB1STMF,AB Bank 1st Mutual fund,ABB1STMF: Trustee Committee Meeting under LR 16(1),"As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Trustee of Fund has informed that a meeting of the Trustee Committee will be held on October 27, 2022 at 2:30 PM to consider, among others, un-audited financial statements of the Fund for the First Quarter (Q1) period ended September 30, 2022.",2022-10-25
381,ABBANK,AB Bank Limited,ABBANK: Board Meeting schedule under LR 16(1),"As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 27, 2022 at 2:30 PM to consider, among others, un-audited financial statements of the Company for the Third Quarter (Q3) period ended September 30, 2022.",2022-10-24
